Creating frame-specific output for files:
umbrella_template.sh
     frame      dist    d_dist
         0     2.346        NA
        19     2.446     0.100
        40     2.550     0.104
        51     2.654     0.104
        62     2.757     0.103
        71     2.855     0.098
        79     2.970     0.115
        83     3.085     0.115
        88     3.188     0.103
        90     3.288     0.100
        93     3.358     0.070
        97     3.469     0.111
       102     3.574     0.105
       107     3.687     0.113
       110     3.789     0.102
       116     3.901     0.112
       120     3.993     0.092
       125     4.095     0.102
       129     4.198     0.103
       134     4.291     0.093
       137     4.386     0.095
       140     4.492     0.106
       145     4.602     0.110
       151     4.698     0.096
       157     4.802     0.104
       162     4.902     0.100
       166     5.000     0.098
       169     5.094     0.094
       173     5.208     0.114
       178     5.309     0.101
       183     5.411     0.102
       188     5.527     0.116
       195     5.622     0.095
       201     5.720     0.098
       206     5.813     0.093
       211     5.913     0.100
       217     6.019     0.106
       220     6.122     0.103
       225     6.234     0.112
       230     6.314     0.080
       234     6.398     0.084
       237     6.487     0.089
       242     6.585     0.098
       246     6.685     0.100
       250     6.786     0.101

