Creating frame-specific output for files:
umbrella_template.sh
     frame      dist    d_dist
         0     2.362        NA
        27     2.466     0.104
        34     2.563     0.097
        41     2.657     0.094
        49     2.755     0.098
        59     2.858     0.103
        66     2.957     0.099
        74     3.060     0.103
        80     3.159     0.099
        85     3.261     0.102
        91     3.360     0.099
        95     3.464     0.104
       101     3.577     0.113
       111     3.684     0.107
       115     3.770     0.086
       122     3.878     0.108
       126     3.992     0.114
       131     4.100     0.108
       135     4.193     0.093
       138     4.326     0.133
       142     4.419     0.093
       149     4.509     0.090
       151     4.604     0.095
       156     4.705     0.101
       159     4.791     0.086
       161     4.881     0.090
       164     4.965     0.084
       166     5.071     0.106
       170     5.191     0.120
       173     5.291     0.100
       177     5.404     0.113
       183     5.506     0.102
       190     5.610     0.104
       193     5.698     0.088
       199     5.801     0.103
       209     5.905     0.104
       213     5.999     0.094
       218     6.104     0.105
       221     6.193     0.089
       227     6.292     0.099
       231     6.383     0.091
       238     6.484     0.101
       243     6.587     0.103
       246     6.670     0.083
       248     6.775     0.105
       250     6.817     0.042

